Cycle,ToggleCount,HammingWeight
0,0,0
0,0,0
1,2,33
1,2,0
2,67,34
2,3,33
3,68,34
3,35,66
4,70,68
4,100,66
5,103,101
5,100,66
6,136,129
6,100,66
7,201,130
7,101,93
8,202,130
8,136,121
9,204,157
9,201,121
