hw(rs1),HW
0,3
16,126
13,134
10,117
2,41
13,134
15,127
16,142
16,132
15,122
9,124
13,127
9,129
15,124
13,122
16,136
4,66
13,118
16,132
15,136
19,132
13,102
12,127
15,135
11,128
17,134
10,122
4,68
14,121
1,23
8,104
12,124
15,123
4,68
11,117
5,74
12,115
6,96
12,121
5,75
9,110
15,138
14,101
7,92
12,130
9,112
12,113
10,129
4,68
5,74
6,98
17,122
14,123
13,127
11,103
1,22
2,41
15,144
18,141
7,92
10,119
10,124
15,126
13,123
2,36
14,131
16,118
10,111
14,128
9,123
6,89
18,139
7,95
4,70
11,124
0,3
11,110
12,141
2,38
20,125
13,120
3,61
16,140
11,122
0,3
14,119
15,130
11,112
13,119
12,122
16,140
8,110
2,39
13,136
1,23
12,141
10,124
0,3
9,105
11,106
13,130
1,23
4,69
17,121
13,139
12,107
4,69
15,136
7,97
5,80
14,122
12,103
15,130
8,110
15,120
9,103
10,111
15,128
3,59
1,21
12,126
20,137
12,106
13,118
17,147
17,130
9,112
11,143
9,114
14,127
18,126
14,130
17,132
5,73
16,132
10,112
3,50
13,136
16,126
18,131
9,105
10,109
17,124
9,101
7,91
14,126
0,3
16,121
1,23
1,21
13,139
16,154
13,122
12,109
2,40
15,130
17,137
7,78
12,128
15,127
6,95
1,20
6,70
1,21
17,142
15,117
15,146
14,134
15,132
19,137
6,79
3,59
15,127
2,41
10,113
6,90
5,72
14,139
7,91
18,132
6,73
15,126
15,140
12,119
5,71
19,136
4,63
10,113
15,139
15,133
14,127
14,129
16,126
5,84
16,133
17,145
9,113
0,3
4,65
0,1
17,132
12,138
14,143
13,125
3,59
14,113
16,154
16,125
0,3
4,63
12,123
14,124
6,91
12,129
15,130
17,140
14,122
3,58
14,132
13,122
3,48
6,100
11,137
4,70
16,144
12,144
5,83
19,138
3,49
13,137
13,133
13,120
19,128
18,133
17,132
17,131
6,88
13,136
16,132
15,116
14,138
15,126
14,130
11,110
2,40
9,100
14,142
9,107
2,43
10,110
18,153
2,41
8,104
12,126
16,120
10,118
14,125
17,128
11,124
14,125
15,134
19,137
8,101
3,51
12,101
15,127
16,127
13,130
15,138
13,142
4,63
16,132
9,111
0,3
5,83
10,112
13,118
17,128
17,125
4,66
15,145
18,136
18,142
12,120
13,111
0,3
14,123
3,54
16,150
15,144
15,129
12,119
19,133
13,137
10,114
2,41
11,126
13,130
18,127
17,126
19,159
16,129
15,134
4,69
9,92
9,109
8,107
12,130
14,123
17,126
7,91
8,101
15,111
6,96
1,23
7,95
12,130
0,3
0,1
16,123
1,23
14,130
15,129
12,126
14,135
8,108
12,132
16,136
18,155
0,3
17,127
16,115
17,134
12,118
17,121
9,109
19,115
16,120
15,114
12,132
16,117
17,121
8,102
3,59
11,129
15,126
15,121
13,143
14,120
7,107
4,64
13,137
0,1
2,37
13,118
16,142
3,52
16,124
12,126
0,1
8,101
15,134
9,102
11,112
9,103
15,131
8,93
10,126
14,119
16,118
9,117
16,113
4,73
10,120
16,134
5,85
8,101
14,128
3,51
11,134
8,94
14,125
0,3
0,3
2,38
12,118
16,145
7,106
13,126
5,79
10,114
6,95
16,146
10,116
15,105
5,80
6,94
14,120
7,106
17,123
17,144
9,111
15,134
14,142
1,23
14,118
0,1
15,138
14,121
12,114
16,130
16,126
12,127
18,136
10,116
2,41
12,109
14,131
17,125
16,130
13,124
15,121
18,128
12,121
1,23
11,100
14,136
13,130
13,136
16,129
15,142
16,131
11,132
16,136
14,114
12,124
14,135
7,88
14,112
4,68
11,120
13,125
14,131
12,110
16,132
16,128
19,142
6,95
15,140
2,40
7,95
11,116
7,98
10,120
17,131
15,139
3,46
10,117
14,125
2,34
4,63
7,95
16,140
11,120
4,68
8,107
5,69
16,116
14,127
11,131
19,128
15,149
18,131
8,110
10,106
15,141
13,132
16,125
0,1
7,96
14,129
16,115
13,116
14,134
15,119
11,135
15,136
3,58
9,125
8,109
10,107
16,117
