rs1 input,rs2 input,hw(rs1),hw(rs2),Cycle,ToggleCount,HammingWeight
13758167533945156600,4293449822631716834,40,38,0,0,0
3853176865732940353,11707028117590027927,32,35,0,0,0
6630340819612420934,3788485053790147468,30,28,1,2,32
15706716214392349226,10578386160319825164,36,29,1,2,0
8093104487837556769,9318638809898076742,29,23,2,30,62
6693960958977549373,15470611846259282000,30,27,2,2,0
4603442349924361441,7052240778810010777,36,40,3,64,98
3200384681680322658,10880523660107035994,22,37,3,2,0
2843750684529828941,15540539164711470718,28,32,4,129,98
14358108982981868179,7093606986525279721,27,27,4,3,29
14439346935250032474,2689197778983570601,28,30,5,131,128
8134447372411755227,10005150286296680529,36,28,5,68,29
2255841575471926573,5469736078898961817,42,39,6,161,164
4204749022184920901,10459479542339324298,30,26,6,68,29
6921237925939547916,11102112675862233109,28,22,7,187,186
9633588388399457324,4989324496745148723,26,31,7,68,29
1055040270207194272,11823951368368096994,24,28,8,213,214
5382897909197572105,4598838615060235862,28,34,8,68,29
16881871475680918755,15294647880033061273,32,27,9,244,241
10313037808406729359,9998088340514348259,34,29,9,68,29
1581916804697807760,2978051286331022748,33,34,10,273,269
13735609635149088851,15995652582230603153,31,36,10,68,29
980399550969132882,2263262774888437243,34,32,11,338,270
7006068915455077899,7716669819271032056,30,30,11,69,65
14942772084063241408,3100977512251678312,29,28,12,339,270
17082607674105706145,15023449489001355006,31,36,12,105,107
6079464383389132197,11936760181260825849,30,29,13,340,271
1148068926083556271,15299984532915962049,37,31,13,129,137
5219645509621324685,4094286458966689326,37,34,14,342,299
15917913645261742336,16946385795075414537,32,26,14,194,137
4346877634986345907,108107521916216608,33,24,15,407,299
579096373243177131,1064269583340779868,25,29,15,195,163
11416817591087584703,18126389560983386282,36,36,16,409,323
6110478908189108468,18235886747940477760,27,33,16,260,163
6282793473187720566,17997440858252443476,36,35,17,474,324
18154304638629428887,16703801276057527981,39,31,17,261,191
13922952356852968722,9466957599027234593,29,28,18,475,324
14534753861011018694,2867902962408536446,32,35,18,289,223
1752529410939933497,5202181202305030201,33,31,19,477,358
