rs1 input,rs2 input,hw(rs1),hw(rs2),Cycle,ToggleCount,HammingWeight
17827717401458294680,12859030624684521135,37,32,19,354,223
14607379505892312661,16694334683957077943,29,40,20,514,391
5471938833154557200,2735587438368796517,30,33,20,354,223
6597130705031757957,12924923102847194093,31,35,21,579,392
7186498761915796504,11817420646443067729,29,37,21,355,254
11945501802447535160,5798397321112131232,34,29,22,581,426
5338377411839428863,15748359126843400186,35,39,22,420,254
3690201745535105925,675730735394304465,33,30,23,615,456
1190269850728494633,12573328116094681641,29,30,23,420,254
15927890897225867965,4459938847057008567,33,34,24,680,456
10602509598082044053,14211820055046040443,28,33,24,421,283
13721167673288132619,16050641134494496717,31,37,25,682,487
14760371526602936150,6127122230312974052,40,29,25,486,283
4594719935572000314,4695827156792723098,32,32,26,711,517
14180406175532682697,10052966680277272177,31,34,26,486,283
12952669941893560308,6020823787708258157,36,32,27,740,554
7730958386495569898,16664383612610395805,33,38,27,486,283
13877748002725689967,5264466847227308956,36,30,28,768,591
7957878253948217938,15134835178675336973,30,32,28,486,283
10303213011972378751,13311900741630101259,38,36,29,795,623
1636938779797161493,4174888234152799730,32,36,29,486,283
15950283391769152098,2584588144177905157,31,31,30,824,656
4546243020287545250,173393243120097945,39,23,30,486,283
9853595275698935482,13276735291457108731,26,30,31,856,681
11839001115216319149,6949456355063981737,32,32,31,486,283
14678579344991442438,15762598395455386370,30,35,32,921,682
15013830045188757804,14143938126110482407,27,37,32,487,319
6674185119577200263,3491388554826827656,29,31,33,922,682
14193245176063582524,9979562666667737696,30,29,33,518,346
15620655519547319390,15227234356776234316,38,29,34,923,683
9059942880911045236,11198425867327865093,30,33,34,551,382
15544514231097802392,1651130445461266237,37,38,35,925,722
15472820915773956666,17237475114041670893,32,37,35,616,382
6089000702576677661,8127976554647517442,30,34,36,953,751
12486250217344070800,7754179628596101370,32,31,36,616,382
7592756279485517570,14213645784768613285,34,27,37,978,783
5608776992589407442,2059258354522741591,33,29,37,616,382
18231199013947268118,11239510217489451863,36,37,38,1043,783
15259986157977186199,16659312309306730011,39,31,38,617,415
12451555618963545659,1214219432294678066,37,32,39,1044,784
9888640218491884183,15325472954083448314,33,28,39,653,452
11395887055636164263,7474451221742626380,34,33,40,1045,784
7245908106282688150,10219589604500263292,29,33,40,685,481
1222001071067459080,7035538560558177398,35,25,41,1047,814
7274849564588551748,7251785705452281736,32,30,41,750,481
11316596007931108465,4447615865766292644,31,26,42,1076,845
7780411415078855708,17975163561685128083,34,33,42,750,481
12053006179879448339,8218051946897759986,31,28,43,1104,874
3696409834643739398,7926201518731766120,24,33,43,750,481
7727821965977123002,13432450895589452276,34,39,44,1169,875
3440964772838927031,4781045996527610348,34,28,44,751,515
14774285474570199075,6206231726015858333,28,38,45,1170,875
17558987722460375256,16966996396586408290,31,37,45,786,550
15974039202118045368,14378898597342470605,31,35,46,1171,876
7846868599004345090,16631594619395245588,30,29,46,822,583
4187382357239081094,12985424018949931065,28,30,47,1172,876
2492858467476375612,9806869884055977773,22,28,47,852,612
18438202414700626183,2628728842367368378,32,33,48,1174,909
7612924024245068614,1988958426165309280,26,29,48,917,612
6066988989694117017,13059077158539610638,27,33,49,1239,910
4955110259717379092,9351582198295984220,23,33,49,918,640
11008884111656901033,13155905213677194600,28,33,50,1241,941
17101205831490107322,16349060202590829157,32,34,50,983,640
17399230558733181357,5721514642814043445,30,30,51,1306,941
9054072338734686463,40553046437944899,34,29,51,984,680
6339115432565968829,6760128266235310211,38,29,52,1308,973
8201445971996799174,1888470932456009627,31,34,52,1049,680
301056854140125761,9159249690196736452,20,27,53,1343,1004
9958726017483432235,14722486809727372734,26,28,53,1049,680
8868558745971322362,11529654530062465075,37,29,54,1408,1005
16193297215877868257,17035689105141381371,30,43,54,1050,716
906601496422428894,806571607699426722,29,27,55,1410,1038
6334437180333092652,7623012811570650886,35,36,55,1115,716
18271028271955885168,13281699766183141149,36,29,56,1475,1038
13314066963726646818,14220770220769608120,28,29,56,1116,752
2489702940855653345,1373225397144173449,30,30,57,1477,1068
17535725084323043219,7505856992840382490,37,26,57,1181,752
6644854230490284006,18288226381904736840,41,39,58,1511,1106
10119961088420845759,7739112321230362004,35,34,58,1181,752
369987275987180667,4711545938789661796,32,28,59,1543,1138
6494066979939443904,15971896617353352705,31,31,59,1181,752
7519055519804043375,11760454405788796281,27,32,60,1608,1139
6019823929875661344,16687455460758156719,26,37,60,1182,783
10056534234614077671,8841588063644773697,36,36,61,1609,1139
2273962592787504766,1163593563747353908,37,27,61,1210,822
8368807037668312414,5272268451701715976,29,26,62,1610,1140
3365100717710624881,7898435032168688860,29,33,62,1241,848
15037872695711502316,15444290143723126401,32,32,63,1612,1172
4056958200034038374,7500786425083666499,34,23,63,1306,848
15956977982623450974,11562316982839357344,33,30,64,1650,1202
11786235583030816843,1428988927863553030,31,33,64,1306,848
15753828472443393131,6967548276866316725,30,32,65,1683,1229
2556981429261154462,2015891733221770361,34,32,65,1306,848
10605943211635228622,5792659800369443265,36,29,66,1711,1258
3914643466421147335,6497217936465601399,37,29,66,1306,848
11627110223991340982,11948434099575594908,34,33,67,1776,1258
2426107348842578239,3925222537743485085,31,32,67,1307,878
2222381093712900122,17283997857870480358,35,37,68,1778,1296
11842471129832584086,11316912493731191239,36,35,68,1372,878
4009722130360180704,5146934066061445477,29,32,69,1810,1326
13442590015147053148,8972915314050201528,30,34,69,1372,878
15819002019643109977,14911469116106829299,27,30,70,1875,1327
8745476906784676526,10253101374275448204,31,30,70,1373,915
12650613297307366391,11169553670528162718,31,37,71,1876,1327
9627042508380433080,11231975656680221265,30,36,71,1400,947
12457679243837306832,6882927791353388940,32,31,72,1878,1357
4111003437598688881,7786322128335518811,32,33,72,1465,947
13999047953717569692,3783666974450194007,34,25,73,1908,1389
4928706076251758511,4023006306332150083,29,33,73,1465,947
9616392328211988518,5416458102041675158,31,34,74,1940,1423
15486526534891120479,2011336590248062021,36,36,74,1465,947
7464558872718915161,3889228894351728596,38,30,75,2005,1424
8751665752537154905,2005383921636396773,32,35,75,1466,980
14903740225876328343,2571546298057494368,36,34,76,2006,1424
10858539050472421707,8829171528355267347,33,31,76,1497,1016
2975707097136373420,8987149271033841000,31,28,77,2008,1463
9490888109395762550,5717859704597557142,34,35,77,1562,1016
11095109082493012282,10619827381583694911,36,34,78,2040,1500
4687493085578014461,11199144955928005996,30,31,78,1562,1016
14704865458232124899,10440260954410425331,34,30,79,2105,1501
17065602162358479705,5608241151092374368,38,35,79,1563,1049
4961410124377976289,13815805831427095654,30,40,80,2106,1501
2465271323364804422,13259222555350312766,27,28,80,1594,1083
12684756674892272787,12872889778662057278,29,32,81,2107,1502
4330112631352998704,4780997773483114354,33,29,81,1625,1112
10965736155478250770,7618906290149111597,33,39,82,2109,1537
15949159731486044120,11194624318035243294,31,32,82,1690,1112
2493072435748977195,14400764006401885026,28,32,83,2174,1537
18167760755808579190,7761739812763718918,29,36,83,1691,1144
570396120451561354,11682383020637768749,36,27,84,2176,1568
10615137569944346230,15334735386066515490,32,34,84,1756,1144
5000352211356531412,5585566820610751262,37,34,85,2215,1602
11982294522404964710,16677952744314221562,27,39,85,1756,1144
12410044937134506295,15111446255027663264,31,28,86,2280,1603
12174825981797481171,17078838547329768487,38,34,86,1757,1175
17714242323903783434,8962926084515886285,31,35,87,2281,1603
2439603106408305626,4122776253464469339,29,33,87,1786,1199
11611909375373227472,3011330162671670724,29,30,88,2283,1637
2607229344991757582,6305071021240038188,28,27,88,1851,1199
12658788761834024458,3005261574997428425,35,33,89,2313,1671
1730015103171290451,3647534754782422865,25,30,89,1851,1199
14879800550179627984,14176731859110074745,35,33,90,2337,1699
7819653873780327984,10461079429626140591,29,29,90,1851,1199
12575848448276156995,10572224124291341554,29,33,91,2402,1700
10201864337050464093,3399542844893223968,30,29,91,1852,1230
13759523393488646927,654252682127845163,33,31,92,2403,1700
13365894846961920194,978627360061907263,31,33,92,1880,1261
2502076291275522652,7221478950428786106,28,32,93,2404,1701
1800538521594524570,12941578629853768577,32,30,93,1919,1291
4617049704234017605,14998427118580987544,27,34,94,2405,1701
13309487472037177502,9429163781055529015,31,26,94,1957,1319
6459128899550281818,1353917242769370530,27,28,95,2407,1723
17123895488422122584,1950070018127527638,28,31,95,2022,1319
15739518069980241097,5113911769140126234,26,27,96,2445,1755
11994839588074805107,14659283447411768989,38,34,96,2022,1319
12185680953986155526,14152972419050381902,25,32,97,2475,1781
15570161761344414571,8436690284208713061,29,35,97,2022,1319
14979426838101120167,5800360705743571804,35,32,98,2540,1782
11472268540277729059,9361724794420896729,35,31,98,2023,1346
3874543359736207129,3702413122034407263,32,34,99,2541,1782
12406561399087582529,18043497867672308191,29,33,99,2051,1369
8606441576279876694,2123407470319898301,28,36,100,2543,1810
4073976422681380245,14493970485847755808,33,30,100,2116,1369
17847181421906325444,12477555877492898148,42,33,101,2573,1842
18254987538028095249,2271848076763262757,38,36,101,2116,1369
4226274361106795102,17381416050288823769,31,36,102,2638,1843
13697951685033441011,13216292148488957295,36,43,102,2117,1399
12989384285654091975,49728862495732745,29,19,103,2640,1877
12983474669777316533,14558771580675547684,34,30,103,2182,1399
7679344544202835894,11127987300418803915,28,35,104,2705,1877
4462016458343228781,13755417749000662118,38,32,104,2183,1437
5649812639570051126,889410786548697499,27,33,105,2706,1878
10121456708054340112,884245607000833843,23,36,105,2218,1468
12196197433006108846,6961138345928134711,30,31,106,2707,1878
16182821628161725937,11504947380356342208,32,33,106,2255,1488
2536044251912982302,9128104758595294178,34,30,107,2708,1879
12438810558842692298,2550291619277959783,29,35,107,2285,1514
14657112653379039641,1274763274929654851,29,31,108,2709,1879
12707781020521072471,17955589291948619258,31,35,108,2320,1551
5253736207061149158,12173878481255492290,34,30,109,2710,1880
72038589008436941,13026030668557937641,41,33,109,2355,1581
2405005530821345377,9120992497254032063,27,35,110,2712,1909
11687848353865286393,7494653305500170321,28,27,110,2420,1581
8165173016698488099,3571008407285915859,26,33,111,2777,1909
2538939615936033560,5467246199197186336,23,32,111,2421,1616
6609209681813154391,17946583690590639357,29,32,112,2779,1945
17760449191262585045,10130553217542727545,30,35,112,2486,1616
17404087207237203650,2845280129762345023,34,38,113,2844,1946
14729743285121258910,13738796714101284334,36,37,113,2487,1644
15678764973641520104,12210535899574559212,32,34,114,2846,1976
3599724257164323255,14009685879937617313,33,30,114,2552,1644
9932744215937460419,333937004575487100,28,31,115,2911,1976
4832584440636503508,3450611693558275896,33,32,115,2553,1681
9233841313145868926,12290278016642346698,26,35,116,2912,1977
11775422759884164910,2285210402999115224,34,31,116,2585,1722
4401096967135784270,5952561903806694668,35,35,117,2914,2012
4277776196760834385,4168562350904699448,31,37,117,2650,1722
16398937933505671428,5311287731087989912,27,32,118,2941,2044
6453872102226330327,635869765423918398,29,27,118,2650,1722
489269054904972192,16850722599257525967,32,36,119,2978,2075
12168764901080946315,9690790389883279523,28,32,119,2650,1722
7267820793908541951,3666142252121357677,35,33,120,3043,2075
2168364371523392565,268432195579619209,30,33,120,2651,1749
11473652185492263335,14844277309323852669,36,32,121,3044,2076
3529060993800110381,9700098792917423388,30,32,121,2688,1775
3994361530255200871,16448995065825581606,33,32,122,3045,2076
3246524987434242925,6081848419543723757,34,30,122,2714,1811
4452185883688178838,13168270365364105257,36,31,123,3046,2077
2687318805358447502,10160283503312346422,31,24,123,2737,1848
1730568923966773685,10726611474360398025,28,30,124,3048,2106
3835212822926183367,1420271030627765516,34,30,124,2802,1848
40611812273996269,893366681013645496,23,31,125,3113,2106
13945393564455053367,14263637920809635042,36,35,125,2803,1877
11206960281042482468,5484279252989955051,37,31,126,3114,2107
15787790402059244679,7142474139006187394,33,28,126,2842,1909
249540185165205820,8573705261093765031,34,37,127,3115,2107
7193477607269801711,4623346573629992637,35,31,127,2874,1943
17538526806755021727,4891016262993530624,34,23,128,3117,2140
11162662138616938648,12611021758968005876,33,28,128,2939,1943
16693619896390355459,6454381037355107061,35,28,129,3182,2141
17715962830732528414,16572165615132453833,38,35,129,2940,1974
11048199086407816604,8337071264726787163,24,28,130,3183,2141
8096248028583449097,16491625228115678267,31,30,130,2969,2004
10400146531704715322,2902835266965408227,27,28,131,3184,2142
7980563632923996574,17736905674548778782,36,32,131,3007,2038
15569682045902010434,10084244997483212900,28,35,132,3185,2142
9386641263145706350,12583028929121457027,30,37,132,3035,2074
10000588176262145702,3640692926988181314,36,30,133,3186,2143
24178957102929994,593607400697175529,24,31,133,3068,2111
6365858080021668424,9932299608697642990,26,40,134,3187,2143
15605885106617428673,7771961896077047536,33,36,134,3097,2145
1454063122307033505,8074017617098472307,31,33,135,3188,2144
2062897989136984695,9828331705389299885,29,29,135,3128,2176
9439271024329797804,12781947360337260147,33,33,136,3189,2144
16584476330868414732,6232721422512158273,31,32,136,3162,2211
7520508452757730263,12121297469299312466,36,36,137,3190,2145
4178079789501169015,2585795647310798651,37,36,137,3193,2247
2614193493569867187,10236290558376833446,34,31,138,3191,2145
10982907553581881783,9553142890921220516,32,28,138,3230,2276
15577674799416562581,10491405668080161978,31,30,139,3192,2146
13479316399413741694,6722045567865830022,30,28,139,3263,2306
7936187286288271983,6296745336133287735,26,31,140,3193,2146
11348019077614944367,5641287666826695398,29,33,140,3288,2333
6053828186224008102,5550887033886783989,25,32,141,3194,2147
12105143764326648788,13839449975766641996,36,33,141,3326,2364
4055478277995690377,12023448645936127767,31,38,142,3195,2147
17977875503199726652,7857813859688728189,35,29,142,3362,2395
8869087832494568360,12825820979406194692,32,26,143,3197,2177
7760857110335705437,3340823563212004883,34,32,143,3427,2395
17658643660417546097,16141503788944332387,29,24,144,3227,2209
13103358434290482721,6040954274941448856,28,31,144,3427,2395
12666442353156275169,16062955775700504549,39,35,145,3263,2241
16757511454534665591,4564673312084260463,34,38,145,3427,2395
11180308808931738978,14614727896384797364,28,33,146,3328,2242
875965981821092168,14375597853502804079,26,28,146,3428,2429
10203308525841309505,6706584478780435570,34,31,147,3330,2271
11441549781511662581,6597934527023804661,34,34,147,3493,2429
13476019244778573631,6852168894324145192,34,35,148,3395,2271
12449301248781774170,1356245489200304878,35,26,148,3494,2460
16298229181342447118,15938059238016367588,33,39,149,3397,2307
8430004110508683584,10365383804034792757,32,34,149,3559,2460
4985262868722798259,4456478520801579871,30,36,150,3429,2345
13434289089272427204,6427021724766785721,38,31,150,3559,2460
11984416767687094946,6894599727355555766,31,34,151,3459,2377
17307574489938547500,9123247226498574960,29,32,151,3559,2460
11249021495835351600,2897615077527184808,35,32,152,3491,2413
6845897416918618816,12000490496554992604,29,31,152,3559,2460
1742427487006802566,7608579660608744494,26,34,153,3556,2414
8457257187522179847,11861987761174266088,31,30,153,3560,2493
14459999463623594205,16015409083807109441,34,29,154,3557,2414
5773302170103453024,7608916673977407385,25,34,154,3598,2524
13033232198848002256,2269115844258396642,35,36,155,3558,2415
9851575734190936604,5261545298113165230,33,32,155,3639,2558
11719560910497271046,232755089745294561,29,33,156,3559,2415
11226962768659067744,2580016943335003703,35,37,156,3673,2594
1818559969213587237,16721556349586183182,31,30,157,3561,2445
1266229182967606946,1131242038911968702,29,32,157,3738,2594
6839327883392231006,21111045127618788,29,21,158,3626,2446
2420423037362108911,8769350183029093734,35,36,158,3739,2628
14381627997980623007,1668514528580114692,36,27,159,3627,2446
6677630092328593067,15789266859267985584,34,30,159,3771,2666
9292152193808555197,2122652328250442265,32,28,160,3628,2447
3593051381361271444,4181811006894147480,31,33,160,3799,2696
16757855470073253817,13366487529069056564,36,34,161,3630,2474
11253673008021390271,17754167960413799076,35,30,161,3864,2696
2759550119719089272,5329273949330900859,31,35,162,3695,2474
6774738503096887058,2286027486505455803,25,39,162,3865,2725
10144399770281028953,11512900581137531566,36,28,163,3697,2507
16523195547019932570,2526311676635735863,35,34,163,3930,2725
7596675094272687181,5795778703905673342,37,29,164,3725,2540
14537621162329835623,6682048653542059286,29,34,164,3930,2725
10346023198147543201,3086682365979782635,27,33,165,3790,2541
11826807396193892232,13088492854478812739,27,34,165,3931,2756
2623552881358534181,7079275889595728220,31,34,166,3791,2541
3547399817213125352,16651727599153722873,31,31,166,3968,2784
785691435353595986,1779309652373047307,28,28,167,3793,2570
16588927891182707535,7832051044526249272,35,33,167,4033,2784
16035658693502354200,15981865560655812683,30,34,168,3828,2606
11329810260070541892,11322198983905122652,29,36,168,4033,2784
13196733413439700862,12051242300494637457,40,32,169,3868,2638
4216735059767414682,7731487348344691715,32,31,169,4033,2784
3145638039106144525,15247208835729091856,28,33,170,3901,2675
5293234913899563998,4423497247768133521,33,35,170,4033,2784
2692172134567649460,8575573771592212366,26,33,171,3966,2676
13297378096497736182,11304407561079922207,37,30,171,4034,2811
3268202926453784157,14428680325890521076,41,37,172,3968,2707
11916102017452271865,9036613120118179024,37,32,172,4099,2811
14233181051652109054,17250154248537357160,36,36,173,4033,2707
12923499246485421048,6197117219584044559,38,26,173,4100,2849
16946883597725328633,15724994126874415094,42,33,174,4035,2738
9990968799130620195,14512028093231739827,25,31,174,4165,2849
13582370219167706083,15157201929695139226,36,28,175,4065,2767
2203634420138518753,15184539609136250970,30,27,175,4165,2849
17738467672878326238,7186093572363244588,37,32,176,4095,2796
6518582160737058832,14951058568010084746,29,33,176,4165,2849
13939633900116123720,6685577452933879156,26,31,177,4160,2797
3479504212522546222,12748531804010089025,30,27,177,4166,2877
6026013696846469775,17470382698745160046,30,29,178,4162,2832
17039271934997472268,12130378195736480882,30,26,178,4231,2877
131869493066812230,1569708004704382183,33,35,179,4198,2857
14773604638807365251,16212121509920187201,26,28,179,4231,2877
3685489219080336522,11442425490088279741,31,38,180,4228,2892
5261737716202671682,5616713624488626571,25,32,180,4231,2877
5593913665319241476,11085599044376087139,30,34,181,4293,2892
17875639453701567683,14023277049174700751,36,34,181,4232,2906
8244511574896931039,13601670579719910773,33,34,182,4295,2921
10378596953992244145,12222933166384744821,26,31,182,4297,2906
4476949991761829760,210568934907937957,26,29,183,4324,2951
10701463378437978902,4918199326604330707,31,27,183,4297,2906
1756864859139386462,1397976925685625268,34,34,184,4389,2952
79814937089654110,15382471357742767299,35,32,184,4298,2939
4332406677831256161,17262873694672242938,33,34,185,4390,2952
2794125232792306100,5962643625390024023,27,34,185,4332,2970
12469921355914929207,13107086634495732116,35,34,186,4391,2953
16644170253255608097,12848941407547975338,34,26,186,4361,2998
2088773745062978879,5470053844181138910,31,38,187,4393,2985
12417628633549931780,2874051058589794465,30,30,187,4425,2998
17950978559031993392,12874809615286467931,32,35,188,4458,2985
2269488885251360334,8865935444307368152,36,28,188,4426,3025
17722671049033834783,860509374399160095,37,34,189,4459,2986
7386487661244334193,17417038345268608812,22,33,189,4462,3056
10583485566698648445,7993276814934690395,29,36,190,4461,3013
8741828383231418989,9859783612652755956,35,34,190,4527,3056
17565833871573605273,12404564963872090041,34,33,191,4526,3013
6484349255913359643,18024368196826987,32,25,191,4528,3084
1333502736483049110,10720002937593820602,29,37,192,4527,3014
13532863704939202191,7166106254761966469,38,36,192,4558,3110
18235933048628000897,7705070133973305513,32,34,193,4528,3014
5762086908454334812,15706757482534193892,36,37,193,4594,3148
14642462984509523031,12214391502634440726,32,28,194,4529,3015
6406852017804361844,9713932803161134324,33,34,194,4625,3173
2400427127932177286,10659280428046041451,28,36,195,4530,3015
9801061000666014155,10739306059395617474,26,32,195,4659,3202
6606105863383169712,5969832483674805693,31,31,196,4532,3050
15029205777734760197,8356217082255169270,29,42,196,4724,3202
6807527797783074721,3443511993656537862,35,37,197,4597,3051
11942622706138893420,794231633533735602,32,27,197,4725,3237
12602148455546916707,12570281797681197397,33,34,198,4599,3083
4344975084166240670,13108231476399959862,32,36,198,4790,3237
8356953404583841547,5312172903478975306,35,28,199,4632,3112
4745186570070191977,13080128785461746688,35,30,199,4790,3237
14151357883583208259,4573632276440811909,29,28,200,4669,3140
17343162138537800713,2475030857900464814,30,31,200,4790,3237
2597985274627478843,10686307356740650117,36,29,201,4734,3140
7508434881613493605,274793221040412634,33,30,201,4791,3270
10558101664832046104,12567109852706782711,25,44,202,4736,3182
8971347705638560506,1364063854391895764,30,32,202,4856,3270
3337446288424278556,10024795067843405763,37,29,203,4766,3220
7922982500262038108,10531515555006679547,31,33,203,4856,3270
4122614928950229264,17995601099225142674,33,40,204,4831,3221
17568860376977111956,8123043758828723564,36,33,204,4857,3301
8513523802813965769,17126082663614255092,31,34,205,4832,3221
392471310564915603,11234714625761617489,31,33,205,4890,3337
1159874685847809796,14272327696098690952,28,35,206,4833,3222
13733292179713393855,6047681353965212081,37,32,206,4923,3366
9720657091017162748,1097576332530494765,41,40,207,4835,3256
5203263172639270888,9125312236717880851,27,32,207,4988,3366
5580165891954248173,13320510805055307770,32,35,208,4900,3256
15009936670268660639,14621260041291965710,28,29,208,4989,3394
490176942058046218,459583669394661503,29,31,209,4901,3257
9161937384549645077,14172343953859810109,37,34,209,5031,3432
11891315213242859488,12148098673516064665,34,33,210,4902,3257
3626833573609383015,13516200841453759316,33,36,210,5066,3459
1053969812189357787,12624390986096714271,31,33,211,4903,3258
14683149766561826029,2271303164803010682,31,31,211,5092,3482
14211975494665781877,1178391075215353187,26,28,212,4905,3288
3968006675845110770,11944488714295095957,27,33,212,5157,3482
15048981499717824756,1199100486978041494,31,26,213,4970,3288
11920216740846365623,4309271158418436803,39,38,213,5158,3514
2567045115406698605,5914328769941398389,36,33,214,4972,3322
6856950177322364926,14052960435338473326,41,36,214,5223,3514
2413877730847672916,3977800360170274380,29,38,215,5037,3323
3297891671174878845,5616183272852240270,26,35,215,5224,3543
9520120366049947444,17720888708456870454,30,37,216,5039,3352
3288909817671056485,5040680425881406599,31,25,216,5289,3543
3178215114827821406,11282431277936163524,34,31,217,5104,3352
16837552650959628338,17629109716095807701,29,34,217,5290,3574
5402330483481548219,17032133764077270172,39,33,218,5106,3386
12028936122266954230,13654517397478266362,38,37,218,5355,3574
4750112949383995605,18194790828975472441,30,38,219,5171,3387
11654677659080196082,12930307342418403269,40,35,219,5356,3615
4570328239387439830,10085894829165072130,38,32,220,5173,3414
17250597499963088430,7024238254225826422,35,35,220,5421,3615
16304102873083146246,13804561587391740834,30,38,221,5238,3414
6927156641277808684,2252042576321282014,24,37,221,5422,3643
9332812968679445864,11376266846709723035,28,36,222,5239,3415
12849042741078097493,11442941266628311387,35,38,222,5456,3669
3008985549668481107,10524477007169848320,26,20,223,5240,3415
4737307835036668468,17242646473869887479,25,37,223,5495,3692
11713499705903081350,15428441133207033753,40,37,224,5241,3416
1435722030096211051,5755091185991969996,30,32,224,5519,3721
4389269084685280378,5305948478220127507,30,26,225,5242,3416
314735217476319301,8783272045265415970,27,37,225,5546,3751
2174754728258429871,14838279311944773240,37,37,226,5243,3417
10438002653995367777,3913414616442039132,34,36,226,5586,3785
8783347897130389348,851481067116517255,29,30,227,5245,3453
14102610366622154184,12268891276272938823,30,33,227,5651,3785
2093164562368421768,7121947776119831680,29,27,228,5310,3453
670995061151007906,17272181726196239854,33,40,228,5652,3817
12748073812009768626,1703329803697623388,34,33,229,5312,3486
7456341047256810925,1455811659001158094,35,31,229,5717,3817
15738388907678237673,6169967473279294191,35,28,230,5343,3514
12150322404946614776,654840561869287360,31,27,230,5717,3817
13325162926216119791,2752166484733948291,35,28,231,5408,3515
2194437880496964533,1210980835433755750,31,31,231,5718,3850
8319209880742893800,11820164426213698990,34,32,232,5410,3541
6560958301463973727,17209250040591548414,31,41,232,5783,3850
8478323217666366471,6842033304078728421,35,31,233,5438,3575
12425627294647694889,11532470919130089338,31,26,233,5783,3850
2461655607325358465,7615824130149456477,31,32,234,5473,3610
10735358479318897983,18323172303480537592,36,34,234,5783,3850
7985559659125666656,423167951714614150,36,30,235,5501,3641
7645810768037294889,2911479700564776191,26,36,235,5783,3850
11049458129850948934,17558803455878491499,31,38,236,5527,3668
1413269562746167797,3987479915280041148,36,36,236,5783,3850
15205858110269825753,3657806746504483047,29,32,237,5559,3697
4191372966088011606,9990863256863626905,37,32,237,5783,3850
3386294134956082354,16492723262587469519,30,38,238,5624,3697
11444589978242611796,11774340752301320269,37,34,238,5784,3882
14526524827261787815,15516626285343731698,35,36,239,5626,3725
17258657520824239692,6881077059404926365,30,39,239,5849,3882
1274867126550443394,9890775781073785308,31,29,240,5661,3760
12895174155560968258,6760221591926919839,27,36,240,5849,3882
3141806164863662759,13539199342014373924,34,30,241,5726,3761
12141128840104406383,2510815015292447511,36,30,241,5850,3912
252807629866646179,16772048679392576159,30,28,242,5728,3797
4006086198727456957,7699819338203783161,36,33,242,5915,3912
11488760406971532812,9782635969408674084,29,28,243,5793,3797
7257413340614941692,13028414342459626791,37,31,243,5916,3942
9197497138405001045,17724824439196828954,35,38,244,5795,3830
8224918871787359597,2458438009058094243,30,24,244,5981,3942
14585526924419010941,8422981722100069839,35,39,245,5860,3831
17928940085512638531,8214033364604832869,23,35,245,5982,3976
9192615825959194746,13350564777417696870,38,35,246,5862,3867
15332938819818079082,12827650621385113683,30,29,246,6047,3976
1488520698526406852,17057642550874728655,26,37,247,5885,3898
17102461275333339222,4401993678928175740,32,30,247,6047,3976
12339776213381005761,8600058566994169002,32,35,248,5950,3898
2616139558773625034,11467828683808557855,26,37,248,6048,4004
3120876182818698726,8876748187092331014,33,31,249,5951,3899
5742003741714063583,5460921323203885410,38,32,249,6084,4038
