hw(rs1),HW
15,0
2,131
15,43
12,143
16,128
17,144
10,118
18,112
16,120
16,142
0,125
6,3
15,78
7,127
1,96
8,21
16,117
18,114
14,121
0,130
14,3
14,129
11,129
13,110
13,106
11,129
17,107
15,119
14,122
16,110
12,126
14,116
2,112
8,37
18,114
9,124
1,121
12,20
15,121
16,127
14,114
14,130
8,135
16,102
14,127
15,139
8,138
1,110
14,20
10,140
0,123
18,1
17,130
14,138
16,118
18,131
15,137
16,126
3,125
14,51
14,130
0,124
7,1
7,109
15,115
19,133
15,141
14,151
5,121
16,89
14,147
4,123
17,70
18,136
12,123
9,131
20,110
9,132
16,100
16,128
1,135
4,23
10,69
13,139
1,134
18,21
14,129
2,114
10,38
14,123
5,133
11,91
14,124
7,125
8,98
12,89
18,123
15,139
5,130
3,81
18,60
1,125
7,22
12,103
8,133
15,105
7,132
13,117
7,139
13,93
9,124
8,105
13,99
16,117
16,126
3,129
15,59
10,140
15,123
18,133
12,113
16,125
3,117
0,50
17,3
12,132
15,124
17,133
15,124
12,122
16,132
18,104
15,127
10,133
2,130
6,29
19,95
17,126
15,131
18,128
14,135
13,118
12,119
14,131
17,121
0,128
2,3
13,35
7,121
1,103
10,17
4,122
9,68
12,110
14,118
3,121
16,51
3,125
15,52
15,155
3,128
16,57
16,115
18,138
6,145
9,83
1,109
16,23
5,139
12,74
11,109
9,123
8,109
11,92
14,124
12,128
16,138
6,138
17,108
14,114
18,123
0,121
4,1
6,68
4,100
9,67
11,112
6,123
16,96
12,133
16,117
8,142
14,120
15,113
15,123
15,114
14,138
4,116
3,60
7,61
13,98
11,131
7,107
13,99
4,117
10,70
6,121
16,78
13,130
13,116
14,107
13,146
9,131
14,121
17,128
5,132
17,76
12,140
8,137
18,97
11,146
11,113
13,120
0,127
18,3
4,113
14,77
14,125
13,133
18,121
10,129
15,111
14,130
4,123
12,65
16,121
8,136
12,99
18,125
2,144
14,41
17,128
13,137
5,110
13,89
2,116
14,41
6,133
10,90
7,122
17,84
10,143
15,127
11,134
13,134
9,135
13,112
9,131
12,104
10,113
10,106
19,114
16,123
7,141
12,99
7,116
5,100
6,84
2,98
11,38
11,127
13,119
14,115
14,138
16,119
15,128
2,141
8,35
9,109
17,101
14,132
0,118
12,3
2,129
12,38
6,112
10,103
18,112
3,117
13,49
17,109
18,135
2,126
15,43
17,120
18,127
11,135
5,123
3,82
1,50
8,20
14,104
8,123
4,102
5,71
16,75
10,116
15,121
13,123
9,126
7,112
10,90
17,140
15,123
14,117
14,122
1,141
16,19
3,134
17,59
6,130
0,93
19,1
5,120
4,70
11,67
12,138
15,108
17,136
11,122
16,121
9,134
4,109
18,74
12,122
14,112
9,120
17,122
9,138
13,111
16,124
6,117
17,80
16,127
14,135
5,120
13,76
18,130
8,124
13,113
15,143
9,113
10,107
8,129
9,100
9,106
11,122
1,117
8,23
14,109
13,126
14,130
1,139
15,23
15,148
14,131
9,128
3,106
18,50
14,134
17,119
5,128
11,82
16,135
12,126
10,134
13,117
5,120
2,74
12,38
14,131
13,110
16,128
11,117
6,122
15,75
11,115
4,118
13,71
12,124
6,127
5,89
5,81
5,84
7,82
14,104
8,122
0,109
16,1
2,124
19,37
2,122
18,34
16,124
13,121
11,143
12,121
12,132
12,116
17,122
13,140
6,125
14,88
14,140
12,129
6,118
16,93
7,122
12,80
13,123
10,142
9,105
18,110
13,120
6,127
12,75
15,136
2,136
9,40
15,106
15,130
17,135
5,141
18,85
6,119
2,98
7,41
5,97
16,86
4,124
0,73
13,3
17,133
13,124
10,122
3,109
16,54
5,117
6,79
18,86
15,122
0,130
11,3
10,112
15,128
8,132
4,102
13,67
5,132
13,84
12,133
3,130
5,51
3,75
13,45
16,141
1,126
13,21
16,128
10,122
12,119
2,116
13,42
10,133
14,114
14,125
12,120
10,127
14,120
19,125
11,134
16,114
16,143
10,136
1,122
14,22
4,115
17,70
11,140
11,131
15,138
9,114
8,116
8,110
1,113
10,21
2,127
13,37
15,120
18,111
14,133
12,138
6,118
5,88
5,73
16,83
16,118
6,128
6,98
16,96
7,126
9,105
9,112
10,109
10,98
10,102
13,133
10,122
2,122
15,41
14,130
18,129
13,130
19,129
12,132
11,107
15,123
7,137
13,104
10,128
6,123
3,88
9,50
17,95
1,146
14,21
17,147
17,133
5,131
16,69
4,133
15,68
17,117
11,110
16,129
14,126
16,130
4,134
15,64
10,129
8,122
9,108
18,107
7,130
14,89
15,130
2,139
0,40
17,3
16,116
8,119
16,89
5,133
1,72
15,23
11,140
15,126
21,122
16,142
14,129
15,122
12,133
13,110
9,130
16,114
12,119
14,123
17,121
12,138
0,113
17,3
17,132
15,130
16,128
16,119
6,122
10,91
12,120
17,124
16,113
17,127
11,133
17,121
12,137
12,139
11,124
1,118
14,17
13,139
14,123
18,145
16,129
13,122
15,133
17,120
15,138
3,122
14,57
6,123
0,91
11,1
10,116
16,124
6,123
9,84
10,112
20,108
17,133
16,122
3,151
14,50
1,127
2,21
1,40
13,23
3,114
2,63
15,35
13,128
14,139
14,99
4,130
10,64
11,111
2,126
3,35
13,59
4,126
2,60
11,40
10,119
13,124
18,132
17,116
14,122
10,123
13,126
15,124
12,107
2,129
6,40
10,86
19,105
9,137
11,115
16,107
15,132
6,139
8,100
15,98
17,125
7,142
16,90
5,117
13,79
13,129
17,134
10,114
18,120
18,124
7,142
6,102
12,93
12,125
5,119
15,89
1,124
16,21
14,169
6,126
16,81
17,123
0,122
14,3
13,139
16,132
3,132
11,55
13,122
6,144
13,99
10,123
15,119
6,133
11,82
14,129
16,124
13,141
8,122
8,106
7,115
9,97
7,97
13,101
12,116
13,115
3,118
2,53
10,41
6,125
12,88
7,126
13,104
17,121
14,121
9,124
14,108
15,122
6,133
2,83
11,38
16,116
8,123
6,107
13,90
17,111
12,143
15,135
19,132
13,134
10,130
3,115
3,61
0,40
16,3
7,130
14,101
11,131
17,121
16,119
15,143
7,144
13,96
14,131
5,142
17,66
15,111
12,116
15,124
16,139
2,134
7,40
12,93
2,136
7,39
5,93
0,76
16,3
16,121
7,136
15,89
5,131
6,81
16,87
17,135
9,135
18,110
10,128
10,119
4,110
8,72
6,98
16,93
16,128
3,130
16,55
3,127
7,51
1,101
3,23
16,60
1,131
13,23
19,114
11,126
5,128
13,94
17,138
11,109
9,137
15,99
17,115
20,137
7,129
12,78
3,124
15,57
7,131
15,97
0,129
16,1
9,132
3,118
11,50
17,122
3,150
3,60
10,57
19,111
19,110
17,118
13,123
2,135
10,39
13,116
7,126
5,114
10,80
11,115
9,115
7,120
15,99
13,141
5,133
18,84
0,130
15,3
11,130
1,111
20,23
13,113
13,130
14,115
12,134
14,145
15,112
16,125
14,133
15,122
5,127
13,78
9,125
9,125
12,105
14,130
15,117
13,118
2,113
7,42
8,88
14,106
9,127
17,102
16,124
4,120
12,60
14,128
10,125
19,121
15,140
9,143
19,113
17,114
7,134
3,90
12,54
13,120
14,117
14,134
12,122
14,113
9,116
16,119
3,137
9,52
4,117
15,67
13,127
11,144
6,120
12,88
15,117
14,122
9,155
16,117
13,114
8,134
6,107
2,89
0,41
16,1
4,128
9,79
10,106
14,109
14,142
17,112
8,122
17,106
1,125
12,21
9,121
16,122
17,128
15,135
14,114
11,128
17,123
0,128
14,3
15,135
15,144
17,121
9,116
10,115
12,114
13,119
10,135
11,115
15,129
11,138
5,133
13,78
16,124
2,148
17,30
12,111
7,130
10,89
7,105
11,95
5,117
12,74
4,122
14,60
17,138
19,116
3,134
17,57
1,133
15,23
3,119
15,50
9,120
11,115
14,107
9,128
15,110
16,136
16,115
18,117
11,128
15,106
15,129
8,131
17,88
6,143
2,87
5,41
16,75
14,120
13,124
16,129
12,106
17,130
3,135
15,54
13,109
17,130
17,121
17,138
14,115
8,129
2,118
11,41
16,108
1,125
2,23
4,41
12,65
14,126
7,141
14,94
16,121
14,135
5,129
17,78
17,134
16,123
16,134
14,126
15,128
17,128
17,134
15,138
6,129
5,93
4,80
16,67
6,144
13,94
15,125
3,157
6,59
13,91
14,115
9,116
18,103
0,142
3,3
6,57
16,83
6,141
14,88
10,124
12,132
17,121
11,129
11,129
13,136
17,124
9,120
17,104
15,119
11,130
6,122
15,73
4,120
11,55
0,131
16,1
4,120
11,63
7,120
0,102
14,3
7,115
3,82
14,57
18,124
11,133
13,126
4,136
3,62
7,60
15,93
18,151
17,125
18,135
9,135
13,107
4,123
13,71
20,130
10,126
13,108
15,136
9,141
16,108
16,114
3,125
13,60
18,130
4,122
16,76
13,113
8,125
15,106
21,128
16,100
6,135
8,91
7,101
15,90
17,138
12,109
9,125
12,112
16,121
9,108
14,108
6,107
15,93
7,121
16,99
19,135
16,139
1,135
11,23
11,121
15,113
7,132
10,109
14,104
13,119
15,132
10,139
2,115
15,41
10,120
15,116
19,128
1,125
16,20
14,138
11,113
14,114
13,132
17,134
2,137
14,43
3,140
17,50
6,115
5,97
15,72
11,133
4,129
15,77
15,116
6,135
12,87
9,126
4,121
19,67
8,133
17,103
15,135
13,135
3,130
16,50
8,109
8,105
6,121
3,82
4,50
13,70
8,127
7,113
16,101
17,121
8,134
16,113
13,123
6,144
7,90
17,101
5,124
12,86
2,127
7,41
2,82
7,39
8,93
5,107
6,90
8,97
15,95
19,117
3,120
18,56
11,140
0,106
15,3
16,145
6,130
14,85
3,114
20,40
7,121
15,95
16,121
11,123
13,101
8,101
5,96
12,78
9,123
12,137
7,107
8,101
16,97
10,114
9,116
3,107
12,52
16,131
17,117
5,145
18,85
14,121
10,124
15,114
8,129
14,82
12,143
19,117
9,126
7,100
2,92
13,40
10,125
16,111
15,135
7,133
11,98
5,109
16,85
17,141
0,114
9,1
7,114
12,93
5,119
16,83
15,127
12,135
16,120
15,146
17,142
13,122
11,110
2,119
0,35
13,3
13,131
0,124
3,3
13,61
11,122
10,113
14,105
10,123
7,126
6,109
13,85
8,132
11,119
7,117
13,109
15,132
4,134
7,69
14,112
14,122
17,126
15,131
10,118
4,122
11,60
15,107
15,136
9,123
15,106
16,149
10,128
3,129
16,55
15,131
10,116
4,136
11,62
16,113
12,131
11,114
13,122
18,103
14,110
3,137
12,58
14,133
15,132
6,132
5,92
16,80
6,141
9,97
6,109
1,92
15,20
15,123
14,144
15,141
8,124
13,106
13,128
7,137
4,93
11,75
13,118
12,130
9,137
4,112
3,65
10,49
16,126
15,124
15,138
13,109
18,129
8,139
14,97
14,113
17,126
5,109
12,85
8,114
6,110
14,78
1,126
15,22
20,124
10,150
8,124
11,89
13,115
19,125
16,138
12,106
16,130
8,137
1,97
12,23
4,111
14,71
10,129
1,112
10,20
14,113
14,132
12,127
9,108
13,106
9,120
9,107
5,115
4,69
1,71
18,23
1,123
18,21
15,131
0,130
17,3
13,130
